n,bits,max_v2,fnv1a64,decimal_digits,elapsed_s
27250000,25650559,25,60e0722868ca1efa,7721588,367.5
27500000,25886310,25,530d2a59ef53965e,7792556,370.2
27750000,26121414,25,9539db281b57549a,7863329,372.8
28000000,26356719,25,c0442849d6134ec8,7934163,375.6
28250000,26592008,25,91e917ad750e68cd,8004993,378.8
28500000,26827306,25,27996fc504f974cd,8075824,381.6
28750000,27062944,25,df0590d27e26731d,8146758,384.4
29000000,27297824,25,592d3e1ffc306b1e,8217464,387.2
29250000,27532700,25,6272ca2adc57f914,8288169,390.0
29500000,27767801,25,cd4dda30a53e010f,8358941,392.8
29750000,28003209,25,e45c4383bbd22043,8429806,395.6
30000000,28238455,25,c8a4e5a39a791c4d,8500622,398.4
30250000,28473637,25,8cb8bd03535883c1,8571419,401.1
30500000,28709008,25,f4dce13d8ed25fe3,8642273,403.9
30750000,28944239,25,e9958901a82682e5,8713084,407.1
31000000,29179431,25,92d7ef76dd1da468,8783884,409.8
31250000,29414905,25,bb9f040fc9fc5a33,8854769,412.5
31500000,29650149,25,9f1900617dadc13b,8925584,415.3
31750000,29885417,25,ef28dc512bd15f9a,8996407,418.0
32000000,30120535,25,934d120d27e11230,9067185,420.8
32250000,30355985,25,ca32354f9fcbdd66,9138063,424.0
32500000,30591604,25,51b6e5d7b6b9efaf,9208991,426.7
32750000,30826834,25,ae20dc3583d8b5cc,9279802,429.4
33000000,31062454,25,850d88e6dca1e34e,9350731,432.2
33250000,31297877,25,ef7abee555359ce9,9421600,435.0
33500000,31532975,25,e1c6d01eb8ee83e9,9492372,437.8
33750000,31768481,25,d90a9da7f0df9b01,9563266,440.8
34000000,32003828,25,d0628ed657f29291,9634112,444.0
34250000,32239180,25,331237cf178d504a,9704961,446.9
34500000,32474722,25,79ed6dfaed982f50,9775866,449.7
34750000,32709815,25,b4ba21c76d8ca706,9846636,452.3
35000000,32945318,25,787651fb2604b6cb,9917529,455.1
35250000,33180250,25,c1989ef1f02ca616,9988251,457.8
35500000,33415720,25,ea182a4cb5fb54d8,10059134,460.8
35750000,33650800,25,e4f151e7b0eaa6e7,10129901,463.9
36000000,33885725,25,d1bd8ea56d4aec40,10200620,466.7
36250000,34121199,25,5104c31cb23d5a17,10271505,469.5
36500000,34356619,25,59a5fb50e473438c,10342373,472.4
36750000,34591654,25,0139043e15ff46c0,10413126,475.2
37000000,34827373,25,7c61e62c03aafc03,10484084,478.0
37250000,35062442,25,6c1b21452fea8f69,10554847,480.9
37500000,35297797,25,ab24c15cda1892d6,10625696,483.6
37750000,35533247,25,46db5200f3d7bf66,10696573,486.5
38000000,35768398,25,a37658c6c9862575,10767361,489.5
38250000,36003836,25,25df855985242b81,10838235,492.4
38500000,36239487,25,79bbfa7b43e917c7,10909173,495.1
38750000,36474679,25,b34dd188afa6bb14,10979973,498.3
39000000,36709778,25,bc1256bb52b600bb,11050745,501.4
39250000,36944962,25,aca8da3e737580ab,11121542,503.9
39500000,37180199,25,655fa8c0f7a5559f,11192355,506.5
39750000,37415248,25,7645c1469fbe0ee3,11263112,509.0
40000000,37650009,25,98f845397110d3ff,11333782,511.6
40250000,37885126,25,cc4a8297f98c73b2,11404560,514.2
40500000,38120550,25,c5dbc75994894ebd,11475429,516.7
40750000,38355845,25,866a556b7ca7baac,11546260,519.6
41000000,38591304,25,7efe6f7d5fce96a4,11617140,522.6
41250000,38826570,25,39bdd91cb20bbe94,11687963,525.6
41500000,39061830,25,5fe55d6750369927,11758783,528.7
41750000,39297279,25,70fa548112cbf2e2,11829660,531.7
42000000,39532523,25,4b80698e23f7576f,11900475,534.8
42250000,39767973,25,46b712065ea06a4e,11971353,537.7
42500000,40003317,25,97ec3ad26a6418dc,12042199,540.7
42750000,40238724,25,71d120c29fdf715a,12113063,543.8
43000000,40474141,25,9a3e9bdb73ee2a0c,12183931,546.8
43250000,40709238,25,d51bc1cb7af25cce,12254702,549.7
43500000,40944638,25,122ef8dc40128a01,12325565,552.6
43750000,41180140,25,fc742132110bee39,12396458,555.6
44000000,41415342,25,43e93402033dc6e3,12467261,558.6
44250000,41650455,25,3ad8e87312c8b95a,12538037,561.6
44500000,41885738,25,60a0abec3aabe928,12608864,564.5
44750000,42120951,25,8617ff75fc95ca74,12679670,567.5
45000000,42356602,25,7087647fefaadba5,12750608,570.6
45250000,42591804,25,0cd72873d42b9d7b,12821411,573.6
45500000,42827133,25,da68d9f02f179a28,12892252,576.7
45750000,43062337,25,05d12ba9f648cb6f,12963055,579.6
46000000,43297815,25,b4149866ae1c8bdd,13033941,582.7
46250000,43533216,25,40e4eceb1a8451b4,13104804,585.6
46500000,43768421,25,f4d65655b132bce2,13175608,588.6
46750000,44003829,25,ec637b74bbf0e23a,13246473,591.8
47000000,44239119,25,c5c5d8d0fbf7813f,13317302,594.8
47250000,44474420,25,62b88b1c944566df,13388135,597.9
47500000,44709721,25,89a9799a45e89059,13458968,601.0
47750000,44945409,25,8a0559b98eaa3296,13529917,604.1
48000000,45180947,25,3ca9c1817c142995,13600821,608.0
48250000,45416350,25,5f63d823571638ec,13671684,611.8
48500000,45651695,25,53941b1e45e304e2,13742530,614.6
48750000,45887030,25,5243b5a891508e86,13813373,617.3
49000000,46122401,25,9d3e2403c07e6f87,13884227,620.0
49250000,46357239,25,82c36bf2c3dc4ebd,13954920,622.7
49500000,46592424,25,bd3ed2a1d1a683fe,14025718,625.5
49750000,46827979,25,af3d2c7aeee81f3a,14096627,628.3
50000000,47063400,25,59b8550f2258e15b,14167495,631.0
50250000,47298740,25,de3baf80b84546ef,14238340,633.8
50500000,47534337,25,b56e3db68b5eb478,14309262,636.6
50750000,47769201,25,451a34d5ee8ff197,14379963,639.4
51000000,48004346,25,3f88444f36248071,14450748,642.1
51250000,48239603,25,2d9b417a7fc9ec6f,14521568,644.8
51500000,48475136,25,7acd8622abd58a9c,14592470,647.6
51750000,48710891,25,17ec2897eb67d4a0,14663440,650.4
52000000,48945966,25,d3c1c6f3cec9b946,14734204,653.2
52250000,49181579,25,6cd1f34b36506289,14805131,656.0
52500000,49416729,25,6b4d0757390b13f3,14875918,658.8
52750000,49652276,25,64a99e436e7910d1,14946825,661.6
53000000,49887974,25,4a5109f6838965da,15017777,664.3
53250000,50123386,25,fe80606378cf314b,15088643,667.8
53500000,50358925,25,396bb52f28d45dff,15159547,671.7
53750000,50594578,25,5bbd2e31619d1472,15230486,674.9
54000000,50829778,25,6e8099027649f0fb,15301288,677.7
54250000,51064869,25,c4fe5fed36466cf4,15372058,680.5
54500000,51300307,25,d535ef9a180963cf,15442932,683.3
54750000,51535731,25,f8b2ca1d168372c4,15513801,686.0
55000000,51771391,25,68ca7713bbe23e51,15584742,688.8
55250000,52006304,25,099f32d9f8e810dd,15655458,691.5
55500000,52241811,25,eb33d575b7e2e68b,15726352,694.3
55750000,52477020,25,8e09b347d20f29ca,15797157,697.1
56000000,52712271,25,1bf5f6e05f08cc8c,15867975,700.1
56250000,52947634,25,a053dcb1234b541d,15938826,703.5
56500000,53182897,25,faa1fa7713b43bc2,16009648,707.0
56750000,53418006,25,86473b31cb36b014,16080422,710.2
57000000,53653441,25,c5af533a231da17d,16151296,713.5
57250000,53888670,25,e0ea49b56cac8dc3,16222106,716.9
57500000,54123896,25,fa5f325b8ee5156a,16292917,720.3
57750000,54359066,25,e6284a72e2189f6c,16363710,723.7
58000000,54594359,25,94e0350fab3879e3,16434540,727.0
58250000,54829661,25,1640b7b58e74683e,16505373,730.6
58500000,55065082,25,ec369758595eec28,16576242,733.9
58750000,55300818,25,198b45fdcb5d266f,16647205,737.3
59000000,55535995,25,ecd54e24a3554961,16718001,740.7
59250000,55771174,25,2d6bb9a1f59cd226,16788797,744.1
59500000,56006594,25,d214221f00bc5019,16859665,747.5
59750000,56241763,25,b52f1876d09f47c3,16930458,750.9
60000000,56477442,25,2944746037708d5d,17001404,754.4
60250000,56712938,25,ae5e57f506985f92,17072296,757.8
60500000,56948335,25,d4a749df6802188c,17143157,761.3
60750000,57183743,25,8bb2c7d937a4ef0e,17214022,764.6
61000000,57419386,25,11b9ef6a9b630e0a,17284958,768.2
61250000,57654550,25,9c38886d29d7566c,17355749,771.6
61500000,57890023,25,96f3c6a80ae8987c,17426634,775.1
61750000,58125346,25,28aadbd03db1000c,17497473,778.4
62000000,58360698,25,c6ebc8c56e2d50e4,17568321,781.9
62250000,58595854,25,3c25ae39ea059fda,17639110,785.4
62500000,58830883,25,cc7282b0fec8da39,17709861,788.8
62750000,59066460,25,831c6df8b18c685d,17780777,792.2
63000000,59301876,25,dd11bfde23dcb994,17851644,795.8
63250000,59537151,25,37122e8eb86e5ab1,17922469,799.2
63500000,59772532,25,f328d41a8f8bef7e,17993325,802.7
63750000,60007997,25,84aee4e090f35343,18064207,806.1
64000000,60243414,25,902b5acb3e7fc128,18135075,809.6
64250000,60478319,25,c9c11c567b9c4302,18205788,813.2
64500000,60713625,25,a963f0602a917cff,18276623,816.6
64750000,60948995,25,7207955ff8df0c64,18347476,820.1
65000000,61184573,25,5836abeb780b2a56,18418392,823.5
65250000,61420123,25,7db45420d8dcf7d2,18489300,827.0
65500000,61655523,25,f41349b5063bd625,18560162,830.6
65750000,61890290,25,d62e350c7e0b49bf,18630834,834.1
66000000,62125490,25,d79f35e11bdcbc01,18701636,837.5
66250000,62360840,25,ad92f37641318eb4,18772484,841.0
66500000,62595555,25,aa2664bc9c3ffd41,18843140,844.6
66750000,62830895,25,22f0f09440a919a3,18913984,848.2
67000000,63065785,25,f4e6dc18406dae58,18984693,851.7
67250000,63300721,25,f25a098cbceaeabe,19055416,855.2
67500000,63536059,25,6514a9e3783d5ea5,19126260,858.6
67750000,63771402,25,983a83173e644171,19197105,862.2
68000000,64006529,25,38282ba030926f15,19267885,865.8
68250000,64241922,25,86080a3da4af9e22,19338746,869.2
68500000,64476955,25,bc62c913b7344071,19409498,872.7
68750000,64712292,25,e98e6892ae12b54a,19480341,876.4
69000000,64947660,25,41a2c28106f65bea,19551194,880.1
69250000,65182709,25,8eb9bbaacd86fbb4,19621951,883.6
69500000,65418479,25,60d0547e15ecd101,19692925,887.2
69750000,65653791,25,fd7f97daf3559b8c,19763761,890.6
70000000,65889278,25,75321225833df8eb,19834649,894.1
70250000,66124362,25,72067df6e5235fce,19905417,897.8
70500000,66359476,25,1ffd58ed1831c23a,19976193,901.5
70750000,66594793,25,c6cc5deb7d9cae07,20047031,905.2
71000000,66830091,25,b31829b138effcbc,20117862,908.9
71250000,67065422,25,848111cb02c23e16,20188704,912.5
71500000,67300473,25,bdb3b59bf334dd09,20259461,916.2
71750000,67536047,25,22a618203aff0cf1,20330376,919.5
72000000,67771469,25,e93ebd3bed2105f6,20401245,923.0
72250000,68006848,25,05eec818cec08ffd,20472101,926.4
72500000,68242226,25,dd3596e563a3cee7,20542957,929.8
72750000,68477726,25,ecefa1720960ed25,20613850,933.3
73000000,68713046,25,584bc1034d212fa9,20684688,936.7
73250000,68948409,25,b502b72bb0efcacd,20755540,940.4
73500000,69183352,25,5ba50b4112fb7306,20826264,944.0
73750000,69418710,25,e08b6df909515162,20897114,947.5
74000000,69654014,25,ea4fb528861f3d17,20967948,951.3
74250000,69889152,25,6313f7e9fbb63f9c,21038731,955.1
74500000,70124223,25,ab91978ddde55140,21109495,958.5
74750000,70359655,25,99c7f3cf3634f323,21180367,962.1
75000000,70595341,25,b470d24e49a23213,21251316,965.6
75250000,70830515,25,e33c393de70bf096,21322110,969.2
75500000,71065717,25,7ea3f787f60426b6,21392913,972.6
75750000,71300993,25,11d1e1fdb1c8ff35,21463738,976.2
76000000,71536198,25,60ed3e78110498f1,21534542,979.5
76250000,71771528,25,9e997513b9a2a129,21605383,983.0
76500000,72007075,25,72db6da0cf5d8f88,21676290,986.7
76750000,72242311,25,26ac354d3e604e05,21747103,990.6
77000000,72477864,25,83a310a96f41bdd3,21818012,994.2
77250000,72713163,25,f6219963c3096828,21888843,997.7
77500000,72948403,25,53f804bfd7275f43,21959658,1001.2
77750000,73183753,25,3614db83e9a6c8fb,22030505,1004.8
78000000,73419205,25,6a615e5ca4d8f449,22101383,1008.2
78250000,73654509,25,2de0a4e36236e6c2,22172217,1011.8
78500000,73890117,25,212c344dd30f37ec,22243142,1015.4
78750000,74125715,25,36db10740dcbbf9b,22314064,1018.7
79000000,74360665,25,fcde186bac394ad8,22384791,1022.3
79250000,74595733,25,1d41e0e079a14e2a,22455553,1025.6
79500000,74831018,25,39e2f6077f03d34b,22526381,1029.1
79750000,75066324,25,b0b357d6a403b731,22597215,1032.9
80000000,75301508,25,ce8011f9d466e404,22668013,1036.6
80250000,75536782,25,33ae28230cea0920,22738837,1040.1
80500000,75772291,25,6f33457638c79228,22809733,1043.9
80750000,76007830,25,df0333037eeb86ce,22880637,1047.5
81000000,76243403,25,9c0145a796e18b95,22951551,1050.8
81250000,76478728,25,512a08a5774e04d7,23022391,1054.1
81500000,76714145,25,02efb1accc7bd22e,23093259,1057.5
81750000,76949289,25,cfab5c33726e4329,23164045,1061.1
82000000,77184121,25,23fa70f9c44e9b0b,23234736,1064.7
82250000,77419289,25,3e2e3667fb242118,23305529,1068.1
82500000,77654659,25,cb05d5cfb3ec09aa,23376382,1071.7
82750000,77889787,25,1124f02ddc98aab9,23447163,1075.1
83000000,78125126,25,60c34be7976903e1,23518007,1078.6
83250000,78360487,25,eb58d329c87a3610,23588857,1082.5
83500000,78595738,25,eff02819b6d1c97c,23659675,1086.1
83750000,78831125,25,b0ce78e5d4c47c87,23730534,1090.0
84000000,79066290,25,737dbd15e6beec08,23801325,1093.4
84250000,79301910,25,07f419b706407459,23872254,1097.2
84500000,79537184,25,5ae60816e198fcd9,23943079,1100.7
84750000,79772358,25,6f34fd0d40a4d2fc,24013873,1104.3
85000000,80007948,25,f4f960f4b0d806cf,24084793,1107.9
85250000,80242822,25,403142b93e175051,24155497,1111.4
85500000,80478274,25,08f1e5367f18637e,24226375,1115.0
85750000,80713273,25,dd6dd3bb8fc5d11f,24297117,1118.6
86000000,80948458,25,7d20d667c44ed267,24367914,1122.2
86250000,81183946,25,b688b3da21aa34cf,24438803,1125.6
86500000,81419351,25,cf93bbc7e2e337f4,24509667,1129.2
86750000,81654908,25,ee8cb31136754843,24580577,1132.8
87000000,81890154,25,7a0fb9367ac73bb8,24651393,1136.5
87250000,82125507,25,3d62210dcb7af840,24722241,1140.0
87500000,82360629,25,e5c547b391715bf4,24793020,1143.7
87750000,82595920,25,e262fc96d1594eef,24863850,1147.2
88000000,82831565,25,26b3fd1e286bb6f6,24934786,1150.8
88250000,83066711,25,c4d7fbd81227cf5e,25005572,1154.4
88500000,83302022,25,1c68749f0b9e12ce,25076408,1157.8
88750000,83537170,25,e88124d2105ff731,25147194,1161.4
89000000,83772647,25,8ed71418d1b450a6,25218080,1165.1
89250000,84007859,25,5fd6d19c98543f90,25288886,1168.6
89500000,84243538,25,b74f1e8769957df1,25359832,1172.3
89750000,84478361,25,d65e5269fd5f6bfd,25430521,1176.0
90000000,84713633,25,45967ba1a7b08005,25501345,1180.0
90250000,84949207,25,080dbe7b32f05582,25572260,1183.5
90500000,85184706,25,89f62d445358b90f,25643152,1187.1
90750000,85419559,25,4c5c063ca99676fd,25713850,1190.8
91000000,85655052,25,29ba3ec20bd73e56,25784740,1194.3
91250000,85890717,25,f175ca700ea555a8,25855683,1198.2
91500000,86126027,25,57dee92a9218bf6c,25926518,1201.8
91750000,86361316,25,bb0558e752d62c28,25997347,1205.4
