250000,235224,17,03d5d5032e47181a,0.8
500000,470601,17,73a9bdf5931feee1,3.1
750000,706036,17,59a48ee79438a13d,6.9
1000000,941419,17,a413d7d155b89394,12.3
1250000,1176880,21,6b769bba74ea8909,19.3
1500000,1412376,21,945241083f0ead10,27.9
1750000,1647980,21,5ebba2f42d81ba27,38.1
2000000,1883449,24,b810a41a934f0a65,49.9
2250000,2119017,24,912f417e31b6f4ab,63.4
2500000,2354150,24,2ccc1db3c435d4a8,78.5
2750000,2589122,24,c29c1b22506b0712,95.2
3000000,2824485,24,81c512f5d2a6dbc7,113.5
3250000,3059825,24,8f15235593a8d6b9,133.4
3500000,3295177,24,f1b0e0df314362c6,154.5
3750000,3530802,24,d3ee57c2fc44f6d3,176.9
4000000,3766120,24,33cde90bdf1c9463,200.9
4250000,4001708,24,32871952c247ad71,226.5
4500000,4236757,24,8004f89cc689cbc0,253.1
4750000,4472440,24,07778a2b56dfe934,281.2
5000000,4708010,24,be3f36ebd4e651b7,311.1
5250000,4943349,24,44382d330502453e,342.7
5500000,5178622,24,7e054bceb143d733,375.5
5750000,5413902,24,4c69564efa40f045,409.7
6000000,5649381,24,f4d0e8d92b497975,445.4
6250000,5884883,24,f816576708effa34,482.6
6500000,6120115,24,697e2cb8ad8c090c,521.2
6750000,6355505,24,1cc95dadb57c9492,561.3
7000000,6590899,24,9e8a099b1c7a8cdf,603.0
7250000,6826093,24,578c46db118677ba,646.9
7500000,7061338,24,63364a35ccaf4bf0,693.4
7750000,7296718,24,a77597567c6a7076,740.7
8000000,7531866,24,dc600fb84a1da060,789.4
8250000,7767239,24,502311a66a91abfe,839.6
8500000,8002704,24,8bf861cedc370c18,891.3
8750000,8238383,24,7b016fcc61e81ad6,944.7
9000000,8473589,24,3b79af706f8793fe,1000.7
9250000,8709066,24,537f46fa481bc807,1057.2
9500000,8944345,24,715dafebbdaf4e64,1115.0
9750000,9179634,24,9c22f7ea176e5a98,1174.5
10000000,9415003,24,dc4e80bd9c633888,1235.5
10250000,9650386,24,289acffc1ffaeb0b,1298.5
10500000,9885312,24,da965260ecb24ff9,1362.7
10750000,10120436,24,a91b4dfd2f17098f,1428.4
11000000,10355708,24,56d016dc9d10789d,1495.6
11250000,10591259,24,483fbe7631b62a67,1564.3
11500000,10826215,24,a9aaff9929b9ec8c,1637.8
11750000,11061765,24,53fd428b6ef04800,1714.3
12000000,11297212,24,a32808631b1c50f2,1797.2
12250000,11532570,24,94229a25553ca167,1875.4
12500000,11768030,24,30c1d1b9808728c1,1953.0
12750000,12003565,24,7c89b4c812c07373,2031.1
13000000,12238963,24,71f892ab76a8bccd,2110.9
13250000,12474746,24,e54ead1dd577e2dc,2192.5
13500000,12709840,24,4faa1805e325793f,2276.5
13750000,12945104,24,409bfe24f90639f7,2360.9
14000000,13180637,24,6d4f1e67a7afd988,2446.8
14250000,13416068,24,30a5360cd986fed1,2535.2
14500000,13651159,24,1a319777d18fd740,2624.2
14750000,13886352,24,c8ac2412edc065b1,2714.7
15000000,14121753,24,4e83c31fb28fc297,2807.1
15250000,14356960,24,3901c595107fb629,2903.4
15500000,14592117,24,b8ab708b90900eb7,2999.2
15750000,14827342,24,89182d7a48ac7c2f,3096.0
16000000,15062819,24,53326c8c75606939,3194.3
16250000,15298080,24,f3df1d3702bbfbe1,3295.0
16500000,15533280,24,84d8d8f0fdd0ee0e,3396.7
16750000,15768833,24,001a5c8765ced47c,3498.6
17000000,16003804,24,d8fd2b743d156161,3602.6
17250000,16238884,24,d64e30753c738b25,3710.9
17500000,16474482,24,b29eb0899b1b77db,3821.0
17750000,16709811,24,d133cf5f1271c5ca,3931.9
18000000,16944925,24,d0ea936f84c188c9,4045.2
18250000,17180337,24,b7655199774e9dee,4167.5
18500000,17415780,24,85ff91201c09d6fa,4296.3
18750000,17650808,24,867da5be8a9e183a,4422.7
19000000,17885820,24,102b4b27f55805c1,4548.2
19250000,18120858,24,40307d16e057cc40,4676.8
19500000,18355851,24,f88c274194220310,4801.0
19750000,18591183,24,a333408a8e7be624,4925.1
20000000,18826755,24,1205266ab51477b6,5049.7
20250000,19062163,24,35487c5922096bb7,5178.2
20500000,19297471,24,b9dc6600850758a1,5310.2
20750000,19532892,24,f0d77aa06cc99bdc,5442.9
21000000,19768221,24,045eca3faab93b53,5577.4
